epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,6909.18,1.51178,2.15704,0.9117,0.95403,0,0.85613,0.73839,0.77509,0.65813,0.7733,0.67512,0.70479,0.45946,1.78515,1.65585,0.90338,0.90255,0,0.003763,0.003763,0.003763
65,7051.9,1.4645,2.14093,0.88086,0.96239,0,0.85978,0.73222,0.77456,0.6571,0.78247,0.66253,0.70354,0.47057,1.78081,1.67168,0.93038,0.90092,0,0.003664,0.003664,0.003664
66,7114.64,1.46579,2.11306,0.88793,0.96118,0,0.87297,0.73381,0.77794,0.65922,0.81693,0.67038,0.71934,0.48134,1.76263,1.67761,0.88231,0.90544,0,0.003565,0.003565,0.003565
67,7182.49,1.46243,2.12606,0.88173,0.95693,0,0.86588,0.73981,0.78025,0.66136,0.78544,0.67441,0.71348,0.47543,1.75637,1.68706,0.89754,0.89985,0,0.003466,0.003466,0.003466
68,7252.15,1.45797,2.12695,0.87488,0.95535,0,0.8342,0.75344,0.78139,0.66579,0.76188,0.69111,0.71317,0.47295,1.77765,1.61089,0.88979,0.90199,0,0.003367,0.003367,0.003367
69,7325.52,1.43034,2.08589,0.87116,0.95307,0,0.84995,0.74147,0.77917,0.66095,0.7737,0.68022,0.71179,0.47247,1.77342,1.68759,0.90512,0.90421,0,0.003268,0.003268,0.003268
70,7418.08,1.44256,2.07392,0.85618,0.94913,0,0.89205,0.74045,0.78096,0.66284,0.80806,0.67593,0.70827,0.47254,1.7483,1.66055,0.87271,0.89472,0,0.003169,0.003169,0.003169
71,7488.88,1.46959,2.14844,0.87039,0.94776,0,0.86081,0.74122,0.77955,0.66765,0.78947,0.68445,0.71682,0.47567,1.75148,1.6278,0.9113,0.89994,0,0.00307,0.00307,0.00307
72,7658.73,1.43511,2.06977,0.85514,0.95359,0,0.88366,0.73763,0.78222,0.66895,0.78186,0.69095,0.71925,0.47821,1.72123,1.61553,0.86264,0.89077,0,0.002971,0.002971,0.002971
73,7835.98,1.41201,2.02829,0.84969,0.94697,0,0.88419,0.74044,0.78214,0.66913,0.80078,0.67971,0.71822,0.48408,1.73972,1.59636,0.85228,0.88898,0,0.002872,0.002872,0.002872
74,7921.16,1.39903,2.0625,0.83755,0.94492,0,0.87593,0.73661,0.77926,0.66796,0.79358,0.68196,0.718,0.48458,1.73084,1.61681,0.86453,0.8889,0,0.002773,0.002773,0.002773
75,8073.35,1.42698,2.05639,0.85087,0.94432,0,0.87055,0.74605,0.78457,0.67059,0.81888,0.67635,0.71876,0.48391,1.71336,1.60396,0.84188,0.87777,0,0.002674,0.002674,0.002674
76,8151.07,1.40425,2.04431,0.83507,0.93744,0,0.87113,0.74981,0.78417,0.67634,0.78802,0.69623,0.7221,0.48901,1.7173,1.59618,0.84501,0.87987,0,0.002575,0.002575,0.002575
77,8320.17,1.40685,2.05273,0.844,0.94481,0,0.87306,0.75074,0.78564,0.67388,0.79424,0.69886,0.7299,0.49487,1.70371,1.59497,0.86773,0.8778,0,0.002476,0.002476,0.002476
78,8396.2,1.42341,2.01879,0.82997,0.93639,0,0.88371,0.74857,0.78568,0.67866,0.80261,0.68947,0.72507,0.48916,1.71599,1.56989,0.84265,0.88092,0,0.002377,0.002377,0.002377
79,8533.59,1.42496,2.02517,0.83094,0.93821,0,0.87711,0.7539,0.78751,0.68124,0.80499,0.69693,0.7303,0.49881,1.68713,1.56946,0.82265,0.87611,0,0.002278,0.002278,0.002278
80,8623.33,1.36846,1.98904,0.80608,0.93356,0,0.87613,0.75247,0.78655,0.68173,0.81023,0.68377,0.72079,0.49027,1.69788,1.59098,0.84149,0.87515,0,0.002179,0.002179,0.002179
81,8697.23,1.40328,1.98664,0.82999,0.93828,0,0.89061,0.74701,0.78831,0.68485,0.80616,0.70367,0.73522,0.50088,1.70079,1.55443,0.83344,0.87415,0,0.00208,0.00208,0.00208
82,8858.12,1.37536,1.9692,0.78857,0.92616,0,0.87223,0.74343,0.78495,0.68328,0.79631,0.70007,0.72937,0.49548,1.70207,1.5807,0.83588,0.87567,0,0.001981,0.001981,0.001981
83,8928.69,1.39909,1.96015,0.81344,0.93785,0,0.89932,0.75257,0.78882,0.68741,0.82316,0.69475,0.73485,0.50203,1.68513,1.54992,0.81891,0.87186,0,0.001882,0.001882,0.001882
84,9114.76,1.3922,1.9532,0.80182,0.92444,0,0.89521,0.75455,0.79048,0.68742,0.80183,0.69732,0.72556,0.49778,1.68094,1.54062,0.81356,0.86996,0,0.001783,0.001783,0.001783
85,9234.29,1.39228,1.97277,0.80615,0.92845,0,0.88039,0.75483,0.79024,0.6881,0.78695,0.7101,0.73365,0.50194,1.67661,1.5673,0.82058,0.86856,0,0.001684,0.001684,0.001684
86,9316.37,1.39484,1.95151,0.81229,0.92856,0,0.87027,0.76016,0.79039,0.68975,0.77889,0.70976,0.73256,0.49895,1.64915,1.56435,0.79863,0.86111,0,0.001585,0.001585,0.001585
87,9469.08,1.38151,1.9256,0.7937,0.92109,0,0.87481,0.7571,0.79097,0.68994,0.77731,0.70908,0.73289,0.4987,1.67959,1.53879,0.80161,0.8634,0,0.001486,0.001486,0.001486
88,9542.75,1.37667,1.96298,0.7936,0.9187,0,0.9084,0.74846,0.79052,0.69134,0.83006,0.69223,0.7305,0.50958,1.67158,1.52694,0.80468,0.86606,0,0.001387,0.001387,0.001387
89,9677.55,1.36531,1.8718,0.78037,0.91714,0,0.90983,0.75274,0.79231,0.69379,0.82761,0.69422,0.72792,0.50168,1.64466,1.5067,0.78071,0.86166,0,0.001288,0.001288,0.001288
90,9761.77,1.37612,1.95385,0.79871,0.93011,0,0.879,0.75988,0.79138,0.693,0.78384,0.7037,0.72848,0.50763,1.65968,1.52351,0.78757,0.86351,0,0.001189,0.001189,0.001189
91,9899.28,1.49544,1.85905,0.85454,0.9065,0,0.89885,0.75259,0.79049,0.68531,0.82283,0.69699,0.73182,0.50081,1.67204,1.55169,0.81294,0.86117,0,0.00109,0.00109,0.00109
92,9961.32,1.5057,1.88415,0.83245,0.89856,0,0.87407,0.75457,0.79013,0.68322,0.7974,0.69997,0.73196,0.49423,1.6645,1.54699,0.82279,0.86804,0,0.000991,0.000991,0.000991
93,10026.5,1.46697,1.83513,0.79966,0.89173,0,0.89404,0.75469,0.79102,0.69072,0.81966,0.70044,0.73209,0.50289,1.67252,1.5331,0.81243,0.86857,0,0.000892,0.000892,0.000892
94,10087.9,1.46229,1.79203,0.79618,0.88962,0,0.88802,0.75973,0.7921,0.68959,0.79919,0.7048,0.72964,0.5003,1.65689,1.5357,0.79883,0.85932,0,0.000793,0.000793,0.000793
95,10151.8,1.4806,1.8371,0.7986,0.89083,0,0.88526,0.75848,0.79226,0.69196,0.812,0.70727,0.7368,0.50795,1.63639,1.52256,0.78506,0.8578,0,0.000694,0.000694,0.000694
96,10285.5,1.45367,1.79577,0.78686,0.88882,0,0.88719,0.75885,0.79199,0.69356,0.81833,0.70444,0.73549,0.51228,1.63627,1.52529,0.77797,0.85392,0,0.000595,0.000595,0.000595
97,10352.8,1.45844,1.74796,0.77788,0.89141,0,0.88654,0.75425,0.79001,0.69175,0.81609,0.70115,0.73342,0.50905,1.66596,1.53457,0.79747,0.86204,0,0.000496,0.000496,0.000496
98,10420.5,1.4519,1.75411,0.78207,0.88621,0,0.89853,0.7575,0.79228,0.69423,0.8223,0.70103,0.73322,0.50635,1.64768,1.49588,0.78227,0.85739,0,0.000397,0.000397,0.000397
99,10499.4,1.4537,1.79888,0.78273,0.88772,0,0.90784,0.75276,0.79275,0.69766,0.83662,0.6992,0.73851,0.51779,1.64544,1.50566,0.7794,0.85778,0,0.000298,0.000298,0.000298
100,10562.8,1.44549,1.75998,0.76807,0.88099,0,0.91023,0.75288,0.79354,0.69791,0.83864,0.69954,0.73927,0.51621,1.64394,1.49601,0.7768,0.85766,0,0.000199,0.000199,0.000199
